Fuel_Cost_6000_Miles,CO_Emissions,,,,
616,644,,,,
616,1418,,,,
618,540,,,,
618,235,,,,
618,521,,,,
618,100,,,,
620,500,,,,
620,400,,,,
620,200,,,,
620,900,,,,
620,450,,,,
620,600,,,,
624,710,,,,
624,500,,,,
624,627,,,,
624,486,,,,
624,100,,,,
625,284,,,,
625,680,,,,
625,420,,,,
625,500,,,,
625,494,,,,
626,503,,,,
626,882,,,,
633,772,,,,
633,482,,,,
633,342,,,,
633,772,,,,
634,500,,,,
634,400,,,,
634,1400,,,,
634,1400,,,,
634,148,,,,
634,486,,,,
634,600,,,,
634,500,,,,
634,300,,,,
634,600,,,,
634,1400,,,,
634,300,,,,
634,775,,,,
634,400,,,,
634,700,,,,
637,500,,,,
637,460,,,,
640,420,,,,
640,400,,,,
640,400,,,,
640,650,,,,
640,200,,,,
640,563,,,,
640,775,,,,
641,269,,,,
645,491,,,,
645,627,,,,
646,500,,,,
646,300,,,,
646,800,,,,
646,310,,,,
649,710,,,,
649,879,,,,
651,400,,,,
652,800,,,,
652,300,,,,
652,120,,,,
652,500,,,,
652,700,,,,
655,710,,,,
655,362,,,,
657,162,,,,
659,710,,,,
660,500,,,,
660,200,,,,
660,100,,,,
661,200,,,,
661,492,,,,
661,504,,,,
661,996,,,,
661,500,,,,
661,255,,,,
661,200,,,,
661,616,,,,
665,540,,,,
666,396,,,,
666,1000,,,,
666,703,,,,
666,404,,,,
668,378,,,,
668,200,,,,
668,500,,,,
668,400,,,,
668,1000,,,,
668,500,,,,
668,800,,,,
668,400,,,,
668,500,,,,
668,800,,,,
668,1117,,,,
668,704,,,,
668,400,,,,
671,583,,,,
675,631,,,,
675,300,,,,
675,255,,,,
675,500,,,,
675,400,,,,
678,480,,,,
678,608,,,,
680,300,,,,
680,761,,,,
680,708,,,,
680,300,,,,
682,400,,,,
682,745,,,,
682,708,,,,
682,532,,,,
682,600,,,,
682,100,,,,
682,406,,,,
684,1000,,,,
686,182,,,,
689,600,,,,
689,800,,,,
689,200,,,,
689,200,,,,
689,300,,,,
689,300,,,,
689,400,,,,
689,300,,,,
689,504,,,,
689,1171,,,,
689,420,,,,
689,670,,,,
689,1347,,,,
689,300,,,,
689,798,,,,
689,174,,,,
689,229,,,,
691,650,,,,
693,540,,,,
693,712,,,,
693,612,,,,
696,529,,,,
696,422,,,,
698,720,,,,
700,996,,,,
701,300,,,,
701,700,,,,
701,600,,,,
701,300,,,,
701,600,,,,
703,937,,,,
703,1098,,,,
703,957,,,,
703,193,,,,
703,82,,,,
704,387,,,,
705,86,,,,
709,500,,,,
709,500,,,,
710,132,,,,
710,518,,,,
710,100,,,,
710,128,,,,
714,300,,,,
717,174,,,,
717,400,,,,
718,798,,,,
718,804,,,,
723,300,,,,
725,229,,,,
725,456,,,,
725,650,,,,
730,1300,,,,
730,400,,,,
730,300,,,,
730,700,,,,
730,400,,,,
731,171,,,,
731,497,,,,
731,1171,,,,
731,55,,,,
731,800,,,,
736,300,,,,
736,300,,,,
738,460,,,,
739,1036,,,,
744,300,,,,
744,500,,,,
744,328,,,,
744,600,,,,
744,300,,,,
747,1036,,,,
747,540,,,,
750,100,,,,
750,300,,,,
750,1800,,,,
754,460,,,,
754,162,,,,
758,100,,,,
758,500,,,,
758,200,,,,
758,677,,,,
758,236,,,,
760,100,,,,
760,175,,,,
760,200,,,,
760,624,,,,
760,972,,,,
760,382,,,,
764,300,,,,
764,800,,,,
770,186,,,,
770,271,,,,
771,1264,,,,
773,400,,,,
773,600,,,,
773,1300,,,,
773,400,,,,
775,540,,,,
779,1100,,,,
781,50,,,,
786,600,,,,
786,227,,,,
786,924,,,,
786,300,,,,
790,507,,,,
791,660,,,,
792,400,,,,
792,200,,,,
792,200,,,,
792,700,,,,
794,184,,,,
796,661,,,,
798,200,,,,
798,100,,,,
798,200,,,,
805,800,,,,
805,179,,,,
805,1069,,,,
811,200,,,,
812,41,,,,
818,981,,,,
822,660,,,,
822,100,,,,
822,905,,,,
822,486,,,,
828,633,,,,
828,1536,,,,
829,300,,,,
829,400,,,,
829,360,,,,
829,374,,,,
832,154,,,,
836,310,,,,
836,230,,,,
838,489,,,,
838,1840,,,,
838,1069,,,,
841,379,,,,
843,900,,,,
843,190,,,,
843,400,,,,
851,525,,,,
851,890,,,,
854,900,,,,
854,79,,,,
858,1200,,,,
861,665,,,,
861,700,,,,
861,500,,,,
871,310,,,,
871,658,,,,
872,546,,,,
877,724,,,,
885,400,,,,
885,487,,,,
885,487,,,,
889,232,,,,
894,49,,,,
897,600,,,,
897,1709,,,,
898,740,,,,
898,740,,,,
905,326,,,,
905,326,,,,
905,677,,,,
909,734,,,,
913,505,,,,
918,198,,,,
918,600,,,,
918,300,,,,
921,196,,,,
926,300,,,,
931,220,,,,
947,450,,,,
958,1290,,,,
972,1100,,,,
982,1020,,,,
987,319,,,,
987,1949,,,,
992,918,,,,
992,488,,,,
994,527,,,,
1007,1000,,,,
1033,918,,,,
1048,404,,,,
1091,1770,,,,
1091,1984,,,,
1091,400,,,,
1135,2000,,,,
1162,960,,,,
1383,890,,,,
1409,724,,,,
1499,200,,,,
1624,876,,,,
1738,160,,,,
1810,430,,,,
