Manufacturer,CO_Emissions,Fuel_Cost_9600_km
Suzuki,413,391
Ferrari,200,1499
Audi,600,592
Mercedes-Benz,400,689
Seat,500,612
Renault,800,563
Mercedes-Benz,600,507
Ford,700,556
Volkswagen,100,459
Skoda,615,493
Audi,631,580
Honda,311,464
Volkswagen,100,557
Vauxhall,79,854
Honda,500,646
Citroen,482,633
Volvo,500,709
BMW,300,634
Volkswagen,500,584
Peugeot,300,599
Vauxhall,500,578
Mercedes-Benz,161,478
Skoda,615,493
Mercedes-Benz,1100,493
Daewoo Cars,900,521
Vauxhall,400,417
Audi,300,926
Ford,900,528
Seat,200,550
Hyundai,680,625
Jaguar Cars,310,836
Vauxhall,300,390
BMW,300,646
Mercedes-Benz,600,634
Porsche,798,718
Mitsubishi,673,592
Suzuki,413,376
Mercedes-Benz,600,612
MG Rover Group,742,550
BMW,800,571
Vauxhall,300,549
Mitsubishi,661,796
Volvo,1400,634
BMW,300,634
Mercedes-Benz,400,599
Citroen,367,519
Renault,1212,543
Ford,710,649
Vauxhall,200,501
Mercedes-Benz,200,457
Mercedes-Benz,300,730
Suzuki,394,563
Mercedes-Benz,300,689
Mitsubishi,504,689
Volvo,400,470
Volkswagen,680,417
Daewoo Cars,700,424
Mitsubishi,175,760
Volkswagen,362,655
Audi,500,661
Suzuki,882,626
Vauxhall,387,704
Toyota,300,652
Chrysler Jeep,1949,987
Ford,600,445
Ford,400,473
Subaru,1098,703
Citroen,901,500
Volkswagen,337,599
Renault,511,522
Honda,650,640
Volkswagen,100,429
Ford,1073,550
Daewoo Cars,730,549
Mercedes-Benz,196,921
Mercedes-Benz,700,584
Volkswagen,794,610
Audi,507,790
Mercedes-Benz,500,578
Ford,600,701
Mercedes-Benz,100,500
Volvo,200,640
Volkswagen,600,918
Volkswagen,100,609
Ford,895,535
Alfa Romeo,338,599
Peugeot,500,675
Vauxhall,700,501
Audi,100,391
Ford,120,652
Jaguar Cars,326,905
Vauxhall,219,522
Honda,970,580
Volvo,420,625
