CO_Emissions
780
275
772
970
696
332
245
622
935
521
339
512
389
1069
1237
1569
697
157
374
230
981
800
446
269
733
965
416
150
395
708
1310
772
251
520
658
1105
782
517
1274
733
649
109
698
1423
491
380
1035
1549
419
396
414
623
563
749
4
1090
474
383
1150
1457
450
133
1214
768
1093
833
374
768
431
910
662
383
656
745
517
374
981
1097
158
592
1010
323
629
1026
174
1182
538
69
656
517
186
193
1003
517
194
660
567
1078
1160
1703
365
472
710
710
252
288
269
341
916
733
1093
1045
148
768
772
590
457
1444
180
275
365
620
1097
518
584
720
444
554
427
578
874
814
482
1189
365
1160
457
1169
414
688
461
613
1182
230
703
633
892
691
1182
961
283
526
684
370
628
109
269
518
633
121
383
109
989
1090
620
414
114
657
772
1010
679
895
374
130
680
768
1284
117
891
802
599
234
491
306
313
418
892
162
1281
1073
778
830
482
919
845
395
1182
1093
349
592
800
895
422
678
581
1187
174
444
642
1188
492
244
1103
772
421
414
1177
744
722
383
1108
1397
1267
1182
1035
750
710
768
418
526
1390
1506
621
610
647
684
548
1105
400
570
450
891
1097
1275
891
666
657
642
1275
650
380
1275
1540
706
347
563
482
720
1050
55
967
722
1053
244
891
981
623
455
486
152
1034
832
158
665
430
379
1608
191
526
1160
1180
447
630
696
1130
491
215
891
970
1459
175
1350
633
1182
230
306
55
981
559
177
613
159
733
280
540
563
313
526
841
707
81
55
1249
383
220
1296
964
1078
133
1009
1219
1103
379
981
1019
724
916
684
1224
895
1518
933
447
474
772
772
722
545
1104
1150
482
718
518
532
1045
1653
806
491
517
383
412
193
121
496
329
1160
653
1549
230
1703
753
700
611
578
244
814
814
1256
323
124
518
246
344
1268
652
1197
447
910
833
499
266
1570
980
693
389
474
296
173
75
1520
1397
526
179
325
347
747
365
905
718
418
1182
657
772
1248
1337
194
370
296
895
263
619
633
42
698
768
753
980
628
158
629
933
224
540
1171
941
1275
347
664
625
457
379
1275
535
215
533
251
980
1093
970
706
563
667
169
1584
1010
633
535
447
905
525
1045
374
292
1236
895
704
278
540
780
679
692
1584
692
397
455
905
1222
1098
538
223
474
852
540
584
497
1010
670
1418
75
938
383
83
710
444
960
245
768
698
316
649
407
421
407
245
642
230
171
895
1284
491
447
658
1036
269
1036
114
986
863
244
1140
1170
1275
329
203
494
224
736
518
432
422
848
662
660
1058
590
386
269
171
651
981
512
333
109
230
629
518
1220
710
670
629
